RIX,ARI,CLI,DSH,DB
6.091,16.059,20.891,3.754,79.934
6.0,16.796,21.173,-18.415,78.902
14.667,24.674,26.302,-139.528,79.491
5.767,15.336,19.007,-15.562,79.221
8.0,32.614,42.975,14.081,94.776
11.5,22.954,26.462,-84.757,78.19
6.7,16.738,19.217,-51.891,79.13
7.794,18.144,20.701,-55.408,76.718
9.75,21.246,23.512,-99.758,80.01
10.2,21.551,23.728,-102.283,79.409
15.667,37.708,39.493,-225.728,74.604
17.0,30.925,28.661,-266.242,80.738
5.5,14.462,18.837,1.597,79.348
12.0,23.498,25.351,-124.614,76.976
4.0,15.38,21.416,41.454,82.16
5.591,14.234,18.474,6.95,81.797
6.143,14.359,18.227,-10.069,84.257
